hz,decision_tree,random_forest,svc,logistic_regression,framework
10,7.025951142856814e-06,3.370927571428735e-05,0.0004790262857143099,0.0004031640714285751,pure-python
20,5.132978285714021e-06,3.62686128571454e-05,0.0008563668428571256,0.0007982113999999975,pure-python
25,1.1765865857142898e-05,5.4659575714286546e-05,0.0009981457571428304,0.0010169325142857296,pure-python
50,1.1634826857142896e-05,6.512672714285534e-05,0.0021215914285716867,0.002180074428571613,pure-python
100,3.391801714285683e-06,2.7518122857142252e-05,0.003916969571428451,0.0037859575714289154,pure-python
10,0.0001837826485714288,0.0036394085857142824,0.0009714312428571523,0.0008880131142857164,scikit
20,0.0012651533000000005,0.011873917142856629,0.0007403832714285841,0.00014478905857142924,scikit
25,0.00014960601428572318,0.0005327290285714282,0.000134348585714285,0.0001278334028571432,scikit
50,0.0001389413571428528,0.0004998683142857041,0.00012048657142857369,0.00013576124999999917,scikit
100,0.00016363229000000064,0.0005348501428571483,0.00013666642571428562,0.00013537707999999903,scikit
